,id,username,displayname,location,created,followersCount,friendsCount,url,verified,geotext,city,country
48,1333885964582842373,CellarLetters,The Cellar Letters - Horror Audio Drama,,2020-12-01T21:29:40+00:00,404,293,https://twitter.com/CellarLetters,False,<geotext.geotext.GeoText object at 0x7f4bdcc2aeb0>,,
51,1251653364900864009,BiggerttGamePod,Bigger than the Game Podcast,,2020-04-18T23:26:53+00:00,207,1757,https://twitter.com/BiggerttGamePod,False,<geotext.geotext.GeoText object at 0x7f4bdcbe5af0>,,
52,3366299129,InvasionRemake,Invasion of the Remake,"Calgary, Alberta",2015-07-08T17:53:30+00:00,6788,5195,https://twitter.com/InvasionRemake,False,<geotext.geotext.GeoText object at 0x7f4bdcbe5c40>,Calgary,Canada
54,1281970706910195712,SpyHards,SpyHards Podcast,Classified,2020-07-11T15:17:00+00:00,2964,1891,https://twitter.com/SpyHards,False,<geotext.geotext.GeoText object at 0x7f4bdcbe58b0>,,
58,1180819761590083584,curichildpod,🪲 The Curiosity of a Child Podcast 🇬🇬,"Bailiwick of Guernsey, United ",2019-10-06T12:19:14+00:00,280,885,https://twitter.com/curichildpod,False,<geotext.geotext.GeoText object at 0x7f4bdcbe5160>,,United Kingdom
59,1282502217585455105,chancewhitmore5,chance whitmore/Strive Seek Find,,2020-07-13T02:29:01+00:00,864,1132,https://twitter.com/chancewhitmore5,False,<geotext.geotext.GeoText object at 0x7f4bdcbe52b0>,,
61,707961342444101632,1CandleSociety,One Candle Society,"Evansville, IN",2016-03-10T16:08:32+00:00,563,295,https://twitter.com/1CandleSociety,False,<geotext.geotext.GeoText object at 0x7f4bdcbe5310>,Evansville,United States
63,1290547359017922561,NowhereOnAir,"Nowhere, On Air","Braedon, Alberta, Canada ",2020-08-04T07:17:31+00:00,255,347,https://twitter.com/NowhereOnAir,False,<geotext.geotext.GeoText object at 0x7f4bdcbe5370>,,Canada
65,1344320719505813509,starsfellradio,Where the Stars Fell 🌲,"Jerusalem, OR",2020-12-30T16:33:51+00:00,216,105,https://twitter.com/starsfellradio,False,<geotext.geotext.GeoText object at 0x7f4bdcbe5670>,Jerusalem,United States
66,866307345760092160,DannyBrownCA,Danny Brown 🏴󠁧󠁢󠁳󠁣󠁴󠁿 🇨🇦,"Muskoka, Ontario",2017-05-21T14:59:01+00:00,1053,1727,https://twitter.com/DannyBrownCA,False,<geotext.geotext.GeoText object at 0x7f4bdcbe56d0>,Ontario,Canada
